Point Number , Temperature ,Uncertainty,,,,,
267,54.392856,0.061890812,,,,,
268,54.375256,0.061870714,,,,,
269,54.375256,0.061870714,,,,,
270,54.375256,0.061870714,,,,,
271,54.357657,0.061850616,,,,,
272,54.762443,0.062312875,,,,,
273,54.727244,0.062272679,,,,,
274,54.340057,0.061830517,,,,,
275,54.692045,0.062232482,,,,,
276,54.322458,0.061810419,,,,,
277,54.26966,0.061750124,,,,,
278,54.639247,0.062172187,,,,,
279,54.674446,0.062212384,,,,,
280,54.287259,0.061770222,,,,,
281,54.656846,0.062192285,,,,,
282,54.287259,0.061770222,,,,,
283,54.322458,0.061810419,,,,,
284,54.252061,0.061730027,,,,,
285,54.586449,0.062111893,,,,,
286,54.252061,0.061730027,,,,,
287,54.26966,0.061750124,,,,,
288,54.639247,0.062172187,,,,,
289,54.656846,0.062192285,,,,,
290,54.252061,0.061730027,,,,,
291,54.252061,0.061730027,,,,,
292,54.234461,0.061709928,,,,,
293,54.216862,0.06168983,,,,,
294,54.216862,0.06168983,,,,,
295,54.234461,0.061709928,,,,,
296,54.604048,0.062131991,,,,,
297,54.445654,0.061951107,,,,,
298,54.428054,0.061931008,,,,,
299,54.55125,0.062071696,,,,,
300,54.498452,0.062011402,,,,,
301,54.463253,0.061971205,,,,,
302,54.199262,0.061669731,,,,,
303,54.181663,0.061649633,,,,,
304,54.181663,0.061649633,,,,,
305,54.533651,0.062051598,,,,,
306,54.146464,0.061609436,,,,,
307,54.146464,0.061609436,,,,,
308,54.128865,0.061589339,,,,,
309,54.480853,0.061991304,,,,,
310,54.428054,0.061931008,,,,,
311,54.128865,0.061589339,,,,,
312,54.111265,0.06156924,,,,,
313,54.357657,0.061850616,,,,,
314,54.111265,0.06156924,,,,,
315,54.428054,0.061931008,,,,,
316,54.357657,0.061850616,,,,,
317,54.093666,0.061549142,,,,,
318,54.428054,0.061931008,,,,,
319,54.498452,0.062011402,,,,,
320,54.445654,0.061951107,,,,,
321,54.463253,0.061971205,,,,,
322,54.410455,0.06191091,,,,,
323,54.058467,0.061508945,,,,,
324,54.058467,0.061508945,,,,,
325,54.093666,0.061549142,,,,,
326,54.058467,0.061508945,,,,,
327,54.058467,0.061508945,,,,,
328,54.375256,0.061870714,,,,,
329,54.392856,0.061890812,,,,,
330,54.023269,0.06146875,,,,,
331,54.058467,0.061508945,,,,,
332,53.98807,0.061428553,,,,,
333,54.005669,0.061448651,,,,,
334,54.005669,0.061448651,,,,,
335,54.375256,0.061870714,,,,,
336,54.340057,0.061830517,,,,,
337,54.005669,0.061448651,,,,,
338,53.98807,0.061428553,,,,,
339,54.322458,0.061810419,,,,,
340,54.322458,0.061810419,,,,,
341,54.005669,0.061448651,,,,,
342,53.98807,0.061428553,,,,,
343,54.340057,0.061830517,,,,,
344,54.287259,0.061770222,,,,,
345,53.935272,0.061368258,,,,,
346,54.304859,0.061790321,,,,,
347,54.287259,0.061770222,,,,,
348,54.287259,0.061770222,,,,,
